Adjusted_X,Adjusted_Y,Adjusted_Z,Slice_Index
-0.21252799034118647,-3.1595027446746826,0.2880849242210388,0.0
-0.21102698147296906,-3.2462029457092285,0.5341789722442627,1.0
-0.20823203027248385,-3.0916121006011963,0.08251898735761642,0.0
-0.2073519974946976,-3.1685669422149663,0.3261711299419403,0.0
-0.20704501867294312,-3.1426160335540767,0.2695309817790985,0.0
-0.20553000271320346,-3.123341083526612,0.1948239654302597,0.0
-0.19773901998996726,-3.1520049571990967,0.3266599774360657,0.0
-0.1973550021648407,-3.208833932876587,0.49658203125,0.0
-0.13656699657440186,-3.118367910385132,0.23681601881980896,0.0
-0.1148189902305603,-3.1633682250976562,0.3710928857326508,0.0
-0.1137079820036888,-3.1315929889678955,0.2763669788837433,0.0
-0.1098329946398735,-3.060206890106201,0.06884700804948808,0.0
-0.10936500132083893,-3.09834098815918,0.1821281015872956,0.0
-0.10621899366378784,-3.1508829593658447,0.3339839279651642,0.0
-0.09963200241327286,-3.2036960124969482,0.4873040318489074,0.0
-0.004454008769243957,-3.0369691848754883,-0.0014650060329586267,0.0
0.0005250056856311859,-3.1014318466186523,0.18945294618606567,0.0
0.003195012221112848,-3.1203432083129883,0.2470698803663253,0.0
0.003671004669740796,-3.1539740562438965,0.34277305006980896,0.0
0.008702002465724945,-3.186924934387207,0.4399409592151642,0.0
0.029502004384994507,-3.1954848766326904,0.4609368741512298,0.0
0.0323529988527298,-3.16800308227539,0.3837890028953552,0.0
-0.2156949937343597,-3.4467079639434814,1.1313470602035522,2.0
-0.2284989804029465,-3.4069128036499023,0.9931640625,1.0
-0.2138090133666992,-3.4271140098571777,1.0537101030349731,2.0
-0.21254800260066986,-3.2699799537658687,0.6098629832267761,1.0
-0.21249297261238093,-3.3662638664245605,0.8979488611221313,1.0
-0.21231497824192047,-3.3551959991455083,0.8403319120407104,1.0
-0.2120400220155716,-3.3164291381835938,0.744140088558197,1.0
-0.2117189913988113,-3.2814741134643555,0.6293939352035522,1.0
-0.2037699818611145,-3.343400001525879,0.8793940544128418,1.0
-0.19527602195739746,-3.266142129898072,0.6684569716453552,1.0
-0.16890999674797058,-3.4022421836853027,1.05908203125,2.0
-0.11500699818134308,-3.3112370967864986,0.7939451932907104,1.0
-0.11398998647928238,-3.27183485031128,0.6782220005989075,1.0
-0.11184300482273102,-3.3856000900268555,1.0092768669128418,2.0
-0.10512900352478027,-3.392707109451294,1.02978515625,2.0
-0.10507000237703323,-3.290544986724853,0.7373039126396179,1.0
-0.10379599779844284,-3.256704092025757,0.6406250596046448,1.0
-0.07832099497318268,-3.386500835418701,1.0141600370407104,2.0
-0.06809800118207933,-3.3533639907836914,0.9174800515174866,1.0
0.0038159980904310937,-3.348060131072998,0.8953640460968018,1.0
0.004146002698689699,-3.350727081298828,0.9077141284942628,1.0
0.0049160034395754355,-3.3982350826263428,1.0463858842849731,2.0
0.005198998376727104,-3.2888169288635254,0.7309569716453552,1.0
0.006357012782245874,-3.260854959487915,0.6528320908546448,1.0
0.01328099612146616,-3.2697110176086426,0.6733391284942627,1.0
0.05678500607609749,-3.386032819747925,1.014648199081421,2.0
-0.22280701994895927,-3.6518688201904297,1.7094718217849731,3.0
-0.2185620069503784,-3.646315097808838,1.6899409294128418,3.0
-0.21699000895023346,-3.4940531253814697,1.2495111227035522,2.0
-0.2163320183753968,-3.5782630443573,1.5278319120407104,3.0
-0.21622897684574127,-3.6122119426727295,1.6088861227035522,3.0
-0.21619799733161926,-3.5280561447143555,1.3486318588256836,2.0
-0.21566899120807648,-3.56099796295166,1.4482420682907104,2.0
-0.21159400045871726,-3.6281609535217285,1.6899409294128418,3.0
-0.20734000205993647,-3.45498275756836,1.1713858842849731,2.0
-0.1150129958987236,-3.575831890106201,1.5673819780349731,3.0
-0.11417699605226515,-3.582825183868408,1.588377833366394,3.0
-0.1139420047402382,-3.535741090774536,1.4462891817092896,2.0
-0.11384901404380796,-3.4463961124420166,1.1865228414535522,2.0
-0.10503800958395004,-3.4664831161499023,1.2475581169128418,2.0
-0.09790199249982834,-3.507910966873169,1.3691399097442627,2.0
