id,x,y,z
21,-63.08705902,3.076469183,0.3774548769
22,-63.07180786,3.139947414,0.5737614632
23,-63.07913208,3.208982944,0.783059597
24,-63.09103012,3.273615837,0.9760756493
25,-63.08972168,3.335939884,1.170496464
26,-63.07557678,3.400322437,1.367535114
27,-63.07962418,3.467135429,1.569418907
28,-63.07621384,3.5352745060000004,1.777934074
29,-63.07411575,3.593698502,1.967372894
210,-63.08256531,3.664977789,2.185445786
211,-63.08189774,3.728978157,2.382354736
212,-63.07073212,3.790368795,2.5764322280000003
213,-63.07732391,3.842875004,2.739331245
214,-63.07711029,3.94493413,3.048168182
215,-63.08768845,3.984611034,3.170215607
216,-63.08190155,4.052456856,3.376840591
217,-63.08079147,4.117719173,3.573234558
218,-63.08150864,4.186669827,3.779489517
219,-63.08541489,4.252354145,3.974693298
220,-63.07860947,4.316761971,4.167383194
221,-63.09098434,4.384432793,4.36933136
222,-62.88782883,3.086192369,0.4097374678
223,-62.88692856,3.148163557,0.6033010483
224,-62.88698578,3.216183662,0.8054232597
225,-62.88734436,3.282024622,1.004234314
226,-62.88085938,3.34659791,1.204391956
227,-62.87230682,3.411107063,1.399009705
228,-62.88131332,3.477709055,1.600710869
229,-62.8837471,3.543812275,1.805900574
230,-62.88291168,3.599433899,1.985640526
231,-62.88398743,3.672529697,2.210386276
232,-62.8815918,3.737356663,2.412669182
233,-62.8806572,3.799763918,2.608046532
234,-62.8915596,3.84498024,2.749199867
235,-62.88314056,3.950332165,3.068853378
236,-62.8843956,3.9979949,3.212371826
237,-62.87923813,4.060480118,3.402240753
238,-62.87696075,4.12747097,3.602933884
239,-62.88220215,4.197930813,3.813018799
240,-62.87760544,4.260986805,4.000133514
241,-62.88991165,4.323727608,4.186588287
242,-62.88285828,4.39518261,4.401216507
243,-62.71139908,3.091840982,0.4327489138
244,-62.70422745,3.1540675160000005,0.6241476536
245,-62.71062088,3.220482349,0.8195869923000001
246,-62.69311523,3.2918062210000003,1.034146309
247,-62.68718719,3.353403091,1.223314762
248,-62.67448044,3.418219328,1.4209246640000002
249,-62.67856598,3.484353065,1.621191978
250,-62.67626189999999,3.54954195,1.823386192
251,-62.68592072,3.604855061,2.000367165
252,-62.67604828,3.676650524,2.222644806
253,-62.69184875,3.742317915,2.428059578
254,-62.68270111,3.806391001,2.628919601
255,-62.68760681,3.847188473,2.759531975
256,-62.67155457,3.951066017,3.072738647
257,-62.68464661,4.001557827,3.225013733
258,-62.68068695,4.06478405,3.415502548
259,-62.68288422,4.13035059,3.612606049
260,-62.6882515,4.201300144,3.825906754
261,-62.68561554,4.265519142,4.01348877
262,-62.68055725,4.334833622,4.219947815
263,-62.67284775,4.401287078999999,4.420366287
264,-62.46371078,3.078509092,0.3850787878
265,-62.45700073,3.140961885,0.5807859898
266,-62.45342255,3.201025724,0.7641124725
267,-62.437397,3.263385057,0.9517269135
268,-62.43873596,3.351726055,1.220134258
269,-62.50626373,3.41070509,1.398132324
270,-62.50015259,3.469925165,1.5797843930000002
271,-62.49466705,3.533375025,1.773939133
272,-62.48910904,3.594018698,1.962591171
273,-62.47592926,3.665420532,2.187328339
274,-62.47775649999999,3.72902894,2.388085365
275,-62.48296738,3.79039526,2.578637123
276,-62.47720337,3.841440678,2.743618011
277,-62.48095322,3.945100784,3.0532360080000003
278,-62.49192429,3.986822367,3.181869507
279,-62.49061966,4.049939632,3.373369217
280,-62.48331833,4.1183142660000005,3.577777863
281,-62.48661423,4.186467171,3.780221939
282,-62.48060989,4.257872105,3.992742538
283,-62.47909927,4.319449425,4.1774005889999986
284,-62.47856903,4.388238907,4.383747101
285,-62.28577805,3.0820539,0.3972438574
286,-62.28241729999999,3.1469357010000003,0.5982868671
287,-62.30847168,3.216884375,0.8088121414
288,-62.30026245,3.282406807,1.00775671
289,-62.31167603,3.343474388,1.1943745609999998
290,-62.29299927,3.4101810460000004,1.397388935
291,-62.27435684,3.477165461,1.605496407
292,-62.27298737,3.543190956,1.805966377
293,-62.27429962,3.608698606,2.010689735
294,-62.32394791,3.66748786,2.1957445140000003
295,-62.28833008,3.736261129,2.413234711
296,-62.28430176,3.803323269,2.620380402
297,-62.28032303,3.846273661,2.7578859330000003
298,-62.27293015,3.95347023,3.07843399
299,-62.27583313,3.995757341,3.209581375
2100,-62.27446747,4.064985752,3.416366577
2101,-62.27376556,4.128167152,3.608888626
2102,-62.28243256,4.197062016,3.813774109
2103,-62.27801514,4.263874531,4.011238098
2104,-62.28316498,4.327373505,4.2016582489999985
2105,-62.28064346,4.396681786,4.410324097
2106,-62.08694458,3.07429266,0.373699069
2107,-62.08691406,3.139781237,0.57487607
2108,-62.07962418,3.204714775,0.7707872390999999
2109,-62.08312988,3.2725651260000004,0.9745445251
2110,-62.07358551,3.340077162,1.184384346
2111,-62.08081436,3.404140711,1.3782401080000002
2112,-62.06390762,3.470802069,1.574700356
2113,-62.06877136,3.5362432,1.7792625430000002
2114,-62.08835602,3.588166237,1.945869446
2115,-62.05153656,3.662558794,2.174543381
2116,-62.04997253,3.727204561,2.380204201
2117,-62.05781937,3.788840532,2.571352959
2118,-62.05458832,3.845259666,2.747632027
2119,-62.06674576,3.94471693,3.05585289
2120,-62.06661987,3.987368107,3.18189621
2121,-62.06397629,4.051779747,3.37421608
2122,-62.08322144,4.116812706,3.573659897
2123,-62.07952118,4.187295437,3.784374237
2124,-62.08156967,4.251459122,3.976003647
2125,-62.088871,4.319604397,4.177337646000002
